CED (2019),Australian Citizenship,Sex,Age,Highest Educational Attainment,Birthplace,Persons,ccellid,cgender,ccountry_born,cage_group4,ceducation,cced_name,cstate_name,cnumber,cced_2016lab2ppshare,cgender2,ccountry_born2,ccountry_born3,cnumber.ced,cpercent.ced,ceducation2,ceducation3,ceducation4,cage_group4.34.49,cage_group4.49.64,cage_group4.64.104
Banks,Australian and not stated,Male,18-34,Group 1,Australia,4671,1,1,1,1,1,Banks,NSW,4671,48.56,0,0,0,102324,0.045649115,0,0,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 1,Born overseas,928,2,1,2,1,1,Banks,NSW,928,48.56,0,1,0,102324,0.009069231,0,0,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 1,Not stated/Sup,51,3,1,3,1,1,Banks,NSW,51,48.56,0,0,1,102324,0.000498417,0,0,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 2,Australia,1959,4,1,1,1,2,Banks,NSW,1959,48.56,0,0,0,102324,0.019145069,1,0,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 2,Born overseas,264,5,1,2,1,2,Banks,NSW,264,48.56,0,1,0,102324,0.00258004,1,0,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 2,Not stated/Sup,27,6,1,3,1,2,Banks,NSW,27,48.56,0,0,1,102324,0.000263868,1,0,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 3,Australia,2824,7,1,1,1,3,Banks,NSW,2824,48.56,0,0,0,102324,0.027598608,0,1,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 3,Born overseas,1693,8,1,2,1,3,Banks,NSW,1693,48.56,0,1,0,102324,0.016545483,0,1,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 3,Not stated/Sup,30,9,1,3,1,3,Banks,NSW,30,48.56,0,0,1,102324,0.000293186,0,1,0,0,0,0
Banks,Australian and not stated,Male,18-34,Group 4,Australia,407,10,1,1,1,4,Banks,NSW,407,48.56,0,0,0,102324,0.003977561,0,0,1,0,0,0
Banks,Australian and not stated,Male,18-34,Group 4,Born overseas,111,11,1,2,1,4,Banks,NSW,111,48.56,0,1,0,102324,0.001084789,0,0,1,0,0,0
Banks,Australian and not stated,Male,18-34,Group 4,Not stated/Sup,717,12,1,3,1,4,Banks,NSW,717,48.56,0,0,1,102324,0.007007154,0,0,1,0,0,0
Banks,Australian and not stated,Male,35-49,Group 1,Australia,2072,13,1,1,2,1,Banks,NSW,2072,48.56,0,0,0,102324,0.020249404,0,0,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 1,Born overseas,1140,14,1,2,2,1,Banks,NSW,1140,48.56,0,1,0,102324,0.011141081,0,0,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 1,Not stated/Sup,62,15,1,3,2,1,Banks,NSW,62,48.56,0,0,1,102324,0.000605918,0,0,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 2,Australia,2075,16,1,1,2,2,Banks,NSW,2075,48.56,0,0,0,102324,0.020278722,1,0,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 2,Born overseas,511,17,1,2,2,2,Banks,NSW,511,48.56,0,1,0,102324,0.004993941,1,0,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 2,Not stated/Sup,19,18,1,3,2,2,Banks,NSW,19,48.56,0,0,1,102324,0.000185685,1,0,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 3,Australia,2833,19,1,1,2,3,Banks,NSW,2833,48.56,0,0,0,102324,0.027686564,0,1,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 3,Born overseas,2570,20,1,2,2,3,Banks,NSW,2570,48.56,0,1,0,102324,0.025116297,0,1,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 3,Not stated/Sup,52,21,1,3,2,3,Banks,NSW,52,48.56,0,0,1,102324,0.00050819,0,1,0,1,0,0
Banks,Australian and not stated,Male,35-49,Group 4,Australia,363,22,1,1,2,4,Banks,NSW,363,48.56,0,0,0,102324,0.003547555,0,0,1,1,0,0
Banks,Australian and not stated,Male,35-49,Group 4,Born overseas,228,23,1,2,2,4,Banks,NSW,228,48.56,0,1,0,102324,0.002228216,0,0,1,1,0,0
Banks,Australian and not stated,Male,35-49,Group 4,Not stated/Sup,554,24,1,3,2,4,Banks,NSW,554,48.56,0,0,1,102324,0.005414175,0,0,1,1,0,0
Banks,Australian and not stated,Male,50-64,Group 1,Australia,1878,25,1,1,3,1,Banks,NSW,1878,48.56,0,0,0,102324,0.018353465,0,0,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 1,Born overseas,2034,26,1,2,3,1,Banks,NSW,2034,48.56,0,1,0,102324,0.019878034,0,0,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 1,Not stated/Sup,76,27,1,3,3,1,Banks,NSW,76,48.56,0,0,1,102324,0.000742739,0,0,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 2,Australia,1859,28,1,1,3,2,Banks,NSW,1859,48.56,0,0,0,102324,0.018167781,1,0,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 2,Born overseas,906,29,1,2,3,2,Banks,NSW,906,48.56,0,1,0,102324,0.008854228,1,0,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 2,Not stated/Sup,44,30,1,3,3,2,Banks,NSW,44,48.56,0,0,1,102324,0.000430007,1,0,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 3,Australia,2018,31,1,1,3,3,Banks,NSW,2018,48.56,0,0,0,102324,0.019721668,0,1,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 3,Born overseas,2333,32,1,2,3,3,Banks,NSW,2333,48.56,0,1,0,102324,0.022800125,0,1,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 3,Not stated/Sup,31,33,1,3,3,3,Banks,NSW,31,48.56,0,0,1,102324,0.000302959,0,1,0,0,1,0
Banks,Australian and not stated,Male,50-64,Group 4,Australia,435,34,1,1,3,4,Banks,NSW,435,48.56,0,0,0,102324,0.004251202,0,0,1,0,1,0
Banks,Australian and not stated,Male,50-64,Group 4,Born overseas,468,35,1,2,3,4,Banks,NSW,468,48.56,0,1,0,102324,0.004573707,0,0,1,0,1,0
Banks,Australian and not stated,Male,50-64,Group 4,Not stated/Sup,560,36,1,3,3,4,Banks,NSW,560,48.56,0,0,1,102324,0.005472812,0,0,1,0,1,0
Banks,Australian and not stated,Male,65+,Group 1,Australia,1803,37,1,1,4,1,Banks,NSW,1803,48.56,0,0,0,102324,0.0176205,0,0,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 1,Born overseas,2100,38,1,2,4,1,Banks,NSW,2100,48.56,0,1,0,102324,0.020523044,0,0,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 1,Not stated/Sup,122,39,1,3,4,1,Banks,NSW,122,48.56,0,0,1,102324,0.001192291,0,0,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 2,Australia,1698,40,1,1,4,2,Banks,NSW,1698,48.56,0,0,0,102324,0.016594347,1,0,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 2,Born overseas,798,41,1,2,4,2,Banks,NSW,798,48.56,0,1,0,102324,0.007798757,1,0,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 2,Not stated/Sup,72,42,1,3,4,2,Banks,NSW,72,48.56,0,0,1,102324,0.000703647,1,0,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 3,Australia,1021,43,1,1,4,3,Banks,NSW,1021,48.56,0,0,0,102324,0.009978109,0,1,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 3,Born overseas,856,44,1,2,4,3,Banks,NSW,856,48.56,0,1,0,102324,0.008365584,0,1,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 3,Not stated/Sup,19,45,1,3,4,3,Banks,NSW,19,48.56,0,0,1,102324,0.000185685,0,1,0,0,0,1
Banks,Australian and not stated,Male,65+,Group 4,Australia,589,46,1,1,4,4,Banks,NSW,589,48.56,0,0,0,102324,0.005756225,0,0,1,0,0,1
Banks,Australian and not stated,Male,65+,Group 4,Born overseas,683,47,1,2,4,4,Banks,NSW,683,48.56,0,1,0,102324,0.006674876,0,0,1,0,0,1
Banks,Australian and not stated,Male,65+,Group 4,Not stated/Sup,538,48,1,3,4,4,Banks,NSW,538,48.56,0,0,1,102324,0.005257809,0,0,1,0,0,1
Banks,Australian and not stated,Female,18-34,Group 1,Australia,3904,49,2,1,1,1,Banks,NSW,3904,48.56,1,0,0,102324,0.038153317,0,0,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 1,Born overseas,877,50,2,2,1,1,Banks,NSW,877,48.56,1,1,0,102324,0.008570814,0,0,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 1,Not stated/Sup,53,51,2,3,1,1,Banks,NSW,53,48.56,1,0,1,102324,0.000517963,0,0,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 2,Australia,1165,52,2,1,1,2,Banks,NSW,1165,48.56,1,0,0,102324,0.011385403,1,0,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 2,Born overseas,199,53,2,2,1,2,Banks,NSW,199,48.56,1,1,0,102324,0.001944803,1,0,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 2,Not stated/Sup,5,54,2,3,1,2,Banks,NSW,5,48.56,1,0,1,102324,4.89E-05,1,0,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 3,Australia,3922,55,2,1,1,3,Banks,NSW,3922,48.56,1,0,0,102324,0.038329229,0,1,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 3,Born overseas,1862,56,2,2,1,3,Banks,NSW,1862,48.56,1,1,0,102324,0.018197099,0,1,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 3,Not stated/Sup,56,57,2,3,1,3,Banks,NSW,56,48.56,1,0,1,102324,0.000547281,0,1,0,0,0,0
Banks,Australian and not stated,Female,18-34,Group 4,Australia,400,58,2,1,1,4,Banks,NSW,400,48.56,1,0,0,102324,0.003909151,0,0,1,0,0,0
Banks,Australian and not stated,Female,18-34,Group 4,Born overseas,128,59,2,2,1,4,Banks,NSW,128,48.56,1,1,0,102324,0.001250928,0,0,1,0,0,0
Banks,Australian and not stated,Female,18-34,Group 4,Not stated/Sup,736,60,2,3,1,4,Banks,NSW,736,48.56,1,0,1,102324,0.007192838,0,0,1,0,0,0
Banks,Australian and not stated,Female,35-49,Group 1,Australia,2273,61,2,1,2,1,Banks,NSW,2273,48.56,1,0,0,102324,0.022213752,0,0,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 1,Born overseas,1363,62,2,2,2,1,Banks,NSW,1363,48.56,1,1,0,102324,0.013320433,0,0,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 1,Not stated/Sup,49,63,2,3,2,1,Banks,NSW,49,48.56,1,0,1,102324,0.000478871,0,0,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 2,Australia,912,64,2,1,2,2,Banks,NSW,912,48.56,1,0,0,102324,0.008912865,1,0,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 2,Born overseas,397,65,2,2,2,2,Banks,NSW,397,48.56,1,1,0,102324,0.003879833,1,0,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 2,Not stated/Sup,20,66,2,3,2,2,Banks,NSW,20,48.56,1,0,1,102324,0.000195458,1,0,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 3,Australia,3829,67,2,1,2,3,Banks,NSW,3829,48.56,1,0,0,102324,0.037420351,0,1,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 3,Born overseas,3195,68,2,2,2,3,Banks,NSW,3195,48.56,1,1,0,102324,0.031224346,0,1,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 3,Not stated/Sup,61,69,2,3,2,3,Banks,NSW,61,48.56,1,0,1,102324,0.000596146,0,1,0,1,0,0
Banks,Australian and not stated,Female,35-49,Group 4,Australia,578,70,2,1,2,4,Banks,NSW,578,48.56,1,0,0,102324,0.005648724,0,0,1,1,0,0
Banks,Australian and not stated,Female,35-49,Group 4,Born overseas,357,71,2,2,2,4,Banks,NSW,357,48.56,1,1,0,102324,0.003488918,0,0,1,1,0,0
Banks,Australian and not stated,Female,35-49,Group 4,Not stated/Sup,582,72,2,3,2,4,Banks,NSW,582,48.56,1,0,1,102324,0.005687815,0,0,1,1,0,0
Banks,Australian and not stated,Female,50-64,Group 1,Australia,2543,73,2,1,3,1,Banks,NSW,2543,48.56,1,0,0,102324,0.02485243,0,0,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 1,Born overseas,2859,74,2,2,3,1,Banks,NSW,2859,48.56,1,1,0,102324,0.027940659,0,0,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 1,Not stated/Sup,105,75,2,3,3,1,Banks,NSW,105,48.56,1,0,1,102324,0.001026152,0,0,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 2,Australia,623,76,2,1,3,2,Banks,NSW,623,48.56,1,0,0,102324,0.006088503,1,0,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 2,Born overseas,452,77,2,2,3,2,Banks,NSW,452,48.56,1,1,0,102324,0.004417341,1,0,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 2,Not stated/Sup,21,78,2,3,3,2,Banks,NSW,21,48.56,1,0,1,102324,0.00020523,1,0,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 3,Australia,2400,79,2,1,3,3,Banks,NSW,2400,48.56,1,0,0,102324,0.023454908,0,1,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 3,Born overseas,2287,80,2,2,3,3,Banks,NSW,2287,48.56,1,1,0,102324,0.022350573,0,1,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 3,Not stated/Sup,40,81,2,3,3,3,Banks,NSW,40,48.56,1,0,1,102324,0.000390915,0,1,0,0,1,0
Banks,Australian and not stated,Female,50-64,Group 4,Australia,748,82,2,1,3,4,Banks,NSW,748,48.56,1,0,0,102324,0.007310113,0,0,1,0,1,0
Banks,Australian and not stated,Female,50-64,Group 4,Born overseas,752,83,2,2,3,4,Banks,NSW,752,48.56,1,1,0,102324,0.007349204,0,0,1,0,1,0
Banks,Australian and not stated,Female,50-64,Group 4,Not stated/Sup,589,84,2,3,3,4,Banks,NSW,589,48.56,1,0,1,102324,0.005756225,0,0,1,0,1,0
Banks,Australian and not stated,Female,65+,Group 1,Australia,4462,85,2,1,4,1,Banks,NSW,4462,48.56,1,0,0,102324,0.043606583,0,0,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 1,Born overseas,2958,86,2,2,4,1,Banks,NSW,2958,48.56,1,1,0,102324,0.028908174,0,0,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 1,Not stated/Sup,161,87,2,3,4,1,Banks,NSW,161,48.56,1,0,1,102324,0.001573433,0,0,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 2,Australia,298,88,2,1,4,2,Banks,NSW,298,48.56,1,0,0,102324,0.002912318,1,0,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 2,Born overseas,152,89,2,2,4,2,Banks,NSW,152,48.56,1,1,0,102324,0.001485478,1,0,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 2,Not stated/Sup,14,90,2,3,4,2,Banks,NSW,14,48.56,1,0,1,102324,0.00013682,1,0,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 3,Australia,1015,91,2,1,4,3,Banks,NSW,1015,48.56,1,0,0,102324,0.009919471,0,1,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 3,Born overseas,739,92,2,2,4,3,Banks,NSW,739,48.56,1,1,0,102324,0.007222157,0,1,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 3,Not stated/Sup,30,93,2,3,4,3,Banks,NSW,30,48.56,1,0,1,102324,0.000293186,0,1,0,0,0,1
Banks,Australian and not stated,Female,65+,Group 4,Australia,1357,94,2,1,4,4,Banks,NSW,1357,48.56,1,0,0,102324,0.013261796,0,0,1,0,0,1
Banks,Australian and not stated,Female,65+,Group 4,Born overseas,1029,95,2,2,4,4,Banks,NSW,1029,48.56,1,1,0,102324,0.010056292,0,0,1,0,0,1
Banks,Australian and not stated,Female,65+,Group 4,Not stated/Sup,665,96,2,3,4,4,Banks,NSW,665,48.56,1,0,1,102324,0.006498964,0,0,1,0,0,1
Barton,Australian and not stated,Male,18-34,Group 1,Australia,4556,97,1,1,1,1,Barton,NSW,4556,58.3,0,0,0,106553,0.042758064,0,0,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 1,Born overseas,1106,98,1,2,1,1,Barton,NSW,1106,58.3,0,1,0,106553,0.010379811,0,0,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 1,Not stated/Sup,71,99,1,3,1,1,Barton,NSW,71,58.3,0,0,1,106553,0.000666335,0,0,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 2,Australia,1680,100,1,1,1,2,Barton,NSW,1680,58.3,0,0,0,106553,0.015766801,1,0,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 2,Born overseas,341,101,1,2,1,2,Barton,NSW,341,58.3,0,1,0,106553,0.003200285,1,0,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 2,Not stated/Sup,31,102,1,3,1,2,Barton,NSW,31,58.3,0,0,1,106553,0.000290935,1,0,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 3,Australia,3423,103,1,1,1,3,Barton,NSW,3423,58.3,0,0,0,106553,0.032124858,0,1,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 3,Born overseas,2365,104,1,2,1,3,Barton,NSW,2365,58.3,0,1,0,106553,0.022195527,0,1,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 3,Not stated/Sup,45,105,1,3,1,3,Barton,NSW,45,58.3,0,0,1,106553,0.000422325,0,1,0,0,0,0
Barton,Australian and not stated,Male,18-34,Group 4,Australia,450,106,1,1,1,4,Barton,NSW,450,58.3,0,0,0,106553,0.00422325,0,0,1,0,0,0
Barton,Australian and not stated,Male,18-34,Group 4,Born overseas,136,107,1,2,1,4,Barton,NSW,136,58.3,0,1,0,106553,0.00127636,0,0,1,0,0,0
Barton,Australian and not stated,Male,18-34,Group 4,Not stated/Sup,1454,108,1,3,1,4,Barton,NSW,1454,58.3,0,0,1,106553,0.013645791,0,0,1,0,0,0
Barton,Australian and not stated,Male,35-49,Group 1,Australia,2159,109,1,1,2,1,Barton,NSW,2159,58.3,0,0,0,106553,0.020262217,0,0,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 1,Born overseas,1474,110,1,2,2,1,Barton,NSW,1474,58.3,0,1,0,106553,0.013833491,0,0,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 1,Not stated/Sup,64,111,1,3,2,1,Barton,NSW,64,58.3,0,0,1,106553,0.00060064,0,0,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 2,Australia,1775,112,1,1,2,2,Barton,NSW,1775,58.3,0,0,0,106553,0.016658377,1,0,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 2,Born overseas,665,113,1,2,2,2,Barton,NSW,665,58.3,0,1,0,106553,0.006241026,1,0,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 2,Not stated/Sup,40,114,1,3,2,2,Barton,NSW,40,58.3,0,0,1,106553,0.0003754,1,0,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 3,Australia,3224,115,1,1,2,3,Barton,NSW,3224,58.3,0,0,0,106553,0.030257243,0,1,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 3,Born overseas,3069,116,1,2,2,3,Barton,NSW,3069,58.3,0,1,0,106553,0.028802568,0,1,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 3,Not stated/Sup,61,117,1,3,2,3,Barton,NSW,61,58.3,0,0,1,106553,0.000572485,0,1,0,1,0,0
Barton,Australian and not stated,Male,35-49,Group 4,Australia,450,118,1,1,2,4,Barton,NSW,450,58.3,0,0,0,106553,0.00422325,0,0,1,1,0,0
Barton,Australian and not stated,Male,35-49,Group 4,Born overseas,271,119,1,2,2,4,Barton,NSW,271,58.3,0,1,0,106553,0.002543335,0,0,1,1,0,0
Barton,Australian and not stated,Male,35-49,Group 4,Not stated/Sup,961,120,1,3,2,4,Barton,NSW,961,58.3,0,0,1,106553,0.009018986,0,0,1,1,0,0
Barton,Australian and not stated,Male,50-64,Group 1,Australia,1397,121,1,1,3,1,Barton,NSW,1397,58.3,0,0,0,106553,0.013110846,0,0,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 1,Born overseas,2696,122,1,2,3,1,Barton,NSW,2696,58.3,0,1,0,106553,0.025301962,0,0,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 1,Not stated/Sup,97,123,1,3,3,1,Barton,NSW,97,58.3,0,0,1,106553,0.000910345,0,0,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 2,Australia,989,124,1,1,3,2,Barton,NSW,989,58.3,0,0,0,106553,0.009281766,1,0,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 2,Born overseas,1043,125,1,2,3,2,Barton,NSW,1043,58.3,0,1,0,106553,0.009788556,1,0,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 2,Not stated/Sup,34,126,1,3,3,2,Barton,NSW,34,58.3,0,0,1,106553,0.00031909,1,0,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 3,Australia,1591,127,1,1,3,3,Barton,NSW,1591,58.3,0,0,0,106553,0.014931536,0,1,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 3,Born overseas,2240,128,1,2,3,3,Barton,NSW,2240,58.3,0,1,0,106553,0.021022402,0,1,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 3,Not stated/Sup,44,129,1,3,3,3,Barton,NSW,44,58.3,0,0,1,106553,0.00041294,0,1,0,0,1,0
Barton,Australian and not stated,Male,50-64,Group 4,Australia,329,130,1,1,3,4,Barton,NSW,329,58.3,0,0,0,106553,0.003087665,0,0,1,0,1,0
Barton,Australian and not stated,Male,50-64,Group 4,Born overseas,650,131,1,2,3,4,Barton,NSW,650,58.3,0,1,0,106553,0.006100251,0,0,1,0,1,0
Barton,Australian and not stated,Male,50-64,Group 4,Not stated/Sup,721,132,1,3,3,4,Barton,NSW,721,58.3,0,0,1,106553,0.006766586,0,0,1,0,1,0
Barton,Australian and not stated,Male,65+,Group 1,Australia,974,133,1,1,4,1,Barton,NSW,974,58.3,0,0,0,106553,0.009140991,0,0,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 1,Born overseas,3768,134,1,2,4,1,Barton,NSW,3768,58.3,0,1,0,106553,0.035362683,0,0,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 1,Not stated/Sup,153,135,1,3,4,1,Barton,NSW,153,58.3,0,0,1,106553,0.001435905,0,0,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 2,Australia,633,136,1,1,4,2,Barton,NSW,633,58.3,0,0,0,106553,0.005940706,1,0,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 2,Born overseas,963,137,1,2,4,2,Barton,NSW,963,58.3,0,1,0,106553,0.009037756,1,0,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 2,Not stated/Sup,52,138,1,3,4,2,Barton,NSW,52,58.3,0,0,1,106553,0.00048802,1,0,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 3,Australia,506,139,1,1,4,3,Barton,NSW,506,58.3,0,0,0,106553,0.00474881,0,1,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 3,Born overseas,897,140,1,2,4,3,Barton,NSW,897,58.3,0,1,0,106553,0.008418346,0,1,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 3,Not stated/Sup,29,141,1,3,4,3,Barton,NSW,29,58.3,0,0,1,106553,0.000272165,0,1,0,0,0,1
Barton,Australian and not stated,Male,65+,Group 4,Australia,362,142,1,1,4,4,Barton,NSW,362,58.3,0,0,0,106553,0.00339737,0,0,1,0,0,1
Barton,Australian and not stated,Male,65+,Group 4,Born overseas,1295,143,1,2,4,4,Barton,NSW,1295,58.3,0,1,0,106553,0.012153576,0,0,1,0,0,1
Barton,Australian and not stated,Male,65+,Group 4,Not stated/Sup,793,144,1,3,4,4,Barton,NSW,793,58.3,0,0,1,106553,0.007442306,0,0,1,0,0,1
Barton,Australian and not stated,Female,18-34,Group 1,Australia,3863,145,2,1,1,1,Barton,NSW,3863,58.3,1,0,0,106553,0.036254258,0,0,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 1,Born overseas,1060,146,2,2,1,1,Barton,NSW,1060,58.3,1,1,0,106553,0.009948101,0,0,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 1,Not stated/Sup,56,147,2,3,1,1,Barton,NSW,56,58.3,1,0,1,106553,0.00052556,0,0,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 2,Australia,965,148,2,1,1,2,Barton,NSW,965,58.3,1,0,0,106553,0.009056526,1,0,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 2,Born overseas,251,149,2,2,1,2,Barton,NSW,251,58.3,1,1,0,106553,0.002355635,1,0,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 2,Not stated/Sup,21,150,2,3,1,2,Barton,NSW,21,58.3,1,0,1,106553,0.000197085,1,0,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 3,Australia,4487,151,2,1,1,3,Barton,NSW,4487,58.3,1,0,0,106553,0.042110499,0,1,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 3,Born overseas,2530,152,2,2,1,3,Barton,NSW,2530,58.3,1,1,0,106553,0.023744052,0,1,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 3,Not stated/Sup,62,153,2,3,1,3,Barton,NSW,62,58.3,1,0,1,106553,0.00058187,0,1,0,0,0,0
Barton,Australian and not stated,Female,18-34,Group 4,Australia,424,154,2,1,1,4,Barton,NSW,424,58.3,1,0,0,106553,0.00397924,0,0,1,0,0,0
Barton,Australian and not stated,Female,18-34,Group 4,Born overseas,170,155,2,2,1,4,Barton,NSW,170,58.3,1,1,0,106553,0.00159545,0,0,1,0,0,0
Barton,Australian and not stated,Female,18-34,Group 4,Not stated/Sup,1376,156,2,3,1,4,Barton,NSW,1376,58.3,1,0,1,106553,0.012913761,0,0,1,0,0,0
Barton,Australian and not stated,Female,35-49,Group 1,Australia,1986,157,2,1,2,1,Barton,NSW,1986,58.3,1,0,0,106553,0.018638612,0,0,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 1,Born overseas,1692,158,2,2,2,1,Barton,NSW,1692,58.3,1,1,0,106553,0.015879422,0,0,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 1,Not stated/Sup,84,159,2,3,2,1,Barton,NSW,84,58.3,1,0,1,106553,0.00078834,0,0,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 2,Australia,741,160,2,1,2,2,Barton,NSW,741,58.3,1,0,0,106553,0.006954286,1,0,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 2,Born overseas,456,161,2,2,2,2,Barton,NSW,456,58.3,1,1,0,106553,0.00427956,1,0,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 2,Not stated/Sup,11,162,2,3,2,2,Barton,NSW,11,58.3,1,0,1,106553,0.000103235,1,0,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 3,Australia,4133,163,2,1,2,3,Barton,NSW,4133,58.3,1,0,0,106553,0.038788209,0,1,0,1,0,0
Barton,Australian and not stated,Female,35-49,Group 3,Born overseas,3542,164,2,2,2,3,Barton,NSW,3542,58.3,1,1,0,106553,0.033241673,0,1,0,1,0,0
